timestamp,hour,minute,second,weekday,is_weekend,FSR_bed_raw,sim_label
2025-01-01 00:00:00,0,0,0,2,0,559.9342830602246,0
2025-01-01 00:00:05,0,0,5,2,0,547.2347139765764,0
2025-01-01 00:00:10,0,0,10,2,0,562.9537707620138,0
2025-01-01 00:00:15,0,0,15,2,0,580.4605971281605,0
2025-01-01 00:00:20,0,0,20,2,0,545.3169325055333,0
2025-01-01 00:00:25,0,0,25,2,0,545.3172608610164,0
2025-01-01 00:00:30,0,0,30,2,0,581.5842563101478,0
2025-01-01 00:00:35,0,0,35,2,0,565.3486945830582,0
2025-01-01 00:00:40,0,0,40,2,0,540.610512281301,0
2025-01-01 00:00:45,0,0,45,2,0,560.8512008717192,0
2025-01-01 00:00:50,0,0,50,2,0,540.7316461437507,0
2025-01-01 00:00:55,0,0,55,2,0,540.6854049285948,0
2025-01-01 00:01:00,0,1,0,2,0,554.8392454313207,0
2025-01-01 00:01:05,0,1,5,2,0,511.73439510684403,0
2025-01-01 00:01:10,0,1,10,2,0,515.5016433497393,0
2025-01-01 00:01:15,0,1,15,2,0,538.7542494151805,0
2025-01-01 00:01:20,0,1,20,2,0,529.7433775933115,0
2025-01-01 00:01:25,0,1,25,2,0,556.2849466519054,0
2025-01-01 00:01:30,0,1,30,2,0,531.8395184895758,0
2025-01-01 00:01:35,0,1,35,2,0,521.7539259732941,0
2025-01-01 00:01:40,0,1,40,2,0,579.3129753784311,0
2025-01-01 00:01:45,0,1,45,2,0,545.4844739902693,0
2025-01-01 00:01:50,0,1,50,2,0,551.3505640937585,0
2025-01-01 00:01:55,0,1,55,2,0,521.5050362757308,0
2025-01-01 00:02:00,0,2,0,2,0,539.1123455094963,0
2025-01-01 00:02:05,0,2,5,2,0,552.2184517941973,0
2025-01-01 00:02:10,0,2,10,2,0,526.9801284515539,0
2025-01-01 00:02:15,0,2,15,2,0,557.5139603669135,0
2025-01-01 00:02:20,0,2,20,2,0,537.9872262016239,0
2025-01-01 00:02:25,0,2,25,2,0,544.1661250041344,0
2025-01-01 00:02:30,0,2,30,2,0,537.9658677554121,0
2025-01-01 00:02:35,0,2,35,2,0,587.0455636901787,0
2025-01-01 00:02:40,0,2,40,2,0,549.7300555052414,0
2025-01-01 00:02:45,0,2,45,2,0,528.845781420882,0
2025-01-01 00:02:50,0,2,50,2,0,566.4508982420638,0
2025-01-01 00:02:55,0,2,55,2,0,525.5831270005796,0
2025-01-01 00:03:00,0,3,0,2,0,554.1772719000951,0
2025-01-01 00:03:05,0,3,5,2,0,510.8065975224045,0
2025-01-01 00:03:10,0,3,10,2,0,523.4362790220314,0
2025-01-01 00:03:15,0,3,15,2,0,553.9372247173825,0
2025-01-01 00:03:20,0,3,20,2,0,564.7693315999082,0
2025-01-01 00:03:25,0,3,25,2,0,553.4273656237995,0
2025-01-01 00:03:30,0,3,30,2,0,547.6870343522352,0
2025-01-01 00:03:35,0,3,35,2,0,543.9779260882142,0
